" 序号",测试用例名称,测试步骤,期望结果,实际结果
1,检查站点主页面内容显示,"1、打开主页面
2、查看主页面内容显示",主页面上图片和文字可以正常显示,通过
2,检查页面上的链接是否有效,"1、打开主页面
2、单击页面上所有的链接",所有链接能被打开，而且内容显示正常
3,检查 ABOUT US 页面,"1、单击ABOUT US下各链接
2、检查页面内容显示","1、ABOUT US下各页面打开正常
2、页面内容可以正常显示"
4,检查 PRIVACY & TERMS 页面,"1、单击PRIVACY & TERMS下各链接
2、检查页面内容显示","1、PRIVACY & TERMS下各页面打开正常
2、页面内容可以正常显示"
5,检查 CUSTOMER SERVICE,"1、单击CUSTOMER SERVICE下各链接
2、检查页面内容显示","1、SERVICE下各页面打开正常
2、服务条款按规则排序"
6,检查 CONTACT US,"1、单击CONTACT US下各链接
2、查看页面内容显示","1、CONTACT US下各页面打开正常
2、页面内容可以正常显示
3、填入信息，能进行正常操作"









